epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.0436,1.64361,2.25969,1.63365,0.65514,0.70094,0.68837,0.42397,1.46723,1.26454,1.35304,0.00997519,0.00332506,0.00997519,0.00332506,0.00997519,0.00332506,0.00997519,0.00332506
2,137.614,1.43838,1.3542,1.40674,0.7059,0.71245,0.72237,0.45094,1.43734,1.18938,1.34397,0.0199703,0.00665677,0.0199703,0.00665677,0.0199703,0.00665677,0.0199703,0.00665677
3,201.556,1.45746,1.32989,1.40968,0.63897,0.70464,0.70108,0.4188,1.53699,1.27972,1.39455,0.0299459,0.00998197,0.0299459,0.00998197,0.0299459,0.00998197,0.0299459,0.00998197
4,264.82,1.45839,1.32971,1.41123,0.73551,0.73302,0.75271,0.47699,1.4074,1.16861,1.3369,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,328.368,1.42019,1.2517,1.38381,0.69776,0.75917,0.77064,0.4853,1.41857,1.08859,1.32233,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,391.859,1.38061,1.19758,1.3626,0.70993,0.77998,0.77743,0.4941,1.3902,1.07151,1.30678,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,455.247,1.36588,1.16914,1.35416,0.74164,0.75992,0.7837,0.49285,1.40126,1.03661,1.31599,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,518.653,1.33585,1.12873,1.334,0.73729,0.76861,0.78664,0.51919,1.30273,1.00164,1.27131,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,582.376,1.30969,1.10352,1.31936,0.74314,0.78336,0.80351,0.51825,1.34239,0.9698,1.27244,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,646.019,1.29058,1.06868,1.30274,0.76089,0.78525,0.8048,0.53493,1.28854,0.9496,1.23845,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,709.695,1.26838,1.04735,1.28677,0.77409,0.77397,0.81216,0.54095,1.30024,0.94885,1.25109,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,773.489,1.26303,1.02756,1.28385,0.77754,0.78121,0.81574,0.55095,1.25438,0.92909,1.22927,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,837.249,1.23865,1.00055,1.26525,0.78074,0.77644,0.81966,0.55421,1.25364,0.93103,1.22514,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,901.338,1.23407,0.98977,1.2593,0.78196,0.79115,0.82387,0.55989,1.25376,0.89855,1.21827,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,965,1.2244,0.97791,1.25488,0.79353,0.78796,0.82683,0.56846,1.21694,0.88276,1.20164,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1028.9,1.21894,0.96656,1.25027,0.78001,0.80717,0.82724,0.56048,1.24598,0.89067,1.20785,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1092.78,1.20538,0.96264,1.24224,0.79462,0.79606,0.83105,0.56852,1.22132,0.86933,1.19904,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
