epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4654,1.51553,2.33699,1.50147,0.67457,0.64399,0.65068,0.3982,1.41988,1.56837,1.33269,0.000302248,0.000302248,0.000302248
2,80.2564,1.38354,1.62895,1.37969,0.6723,0.65835,0.65843,0.41817,1.3563,1.38371,1.3163,0.00060156,0.00060156,0.00060156
3,116.757,1.35866,1.49637,1.36146,0.68914,0.67344,0.69308,0.42472,1.41552,1.32899,1.32191,0.000886244,0.000886244,0.000886244
4,153.233,1.32991,1.40129,1.34323,0.70489,0.68894,0.71656,0.46965,1.27464,1.17948,1.25821,0.000859958,0.000859958,0.000859958
5,189.84,1.28277,1.30266,1.31332,0.72305,0.7048,0.73047,0.48593,1.22592,1.14556,1.23952,0.000823066,0.000823066,0.000823066
6,226.274,1.25523,1.25982,1.29358,0.68652,0.71532,0.73936,0.49695,1.2126,1.13037,1.22002,0.000777211,0.000777211,0.000777211
7,262.678,1.22763,1.20534,1.27691,0.74397,0.71059,0.75802,0.51038,1.15794,1.06672,1.20661,0.000723522,0.000723522,0.000723522
8,299.065,1.20476,1.16237,1.26235,0.76679,0.72476,0.78306,0.5317,1.16762,1.02404,1.19951,0.00066332,0.00066332,0.00066332
9,335.368,1.1866,1.13122,1.25327,0.79314,0.72635,0.78814,0.53662,1.13868,0.98477,1.17084,0.000598089,0.000598089,0.000598089
10,371.853,1.15041,1.08168,1.23207,0.77,0.63645,0.71229,0.48041,1.16483,1.16548,1.19959,0.000529433,0.000529433,0.000529433
