epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7722,1.52125,2.35979,1.51276,0.62235,0.64801,0.60362,0.36407,1.41221,1.51357,1.32805,0.000302248,0.000302248,0.000302248
2,81.0421,1.39128,1.64802,1.38712,0.63311,0.66395,0.63085,0.37358,1.48912,1.43907,1.39495,0.00060156,0.00060156,0.00060156
3,119.075,1.38024,1.53194,1.37351,0.67296,0.66692,0.66939,0.42151,1.33637,1.29537,1.31325,0.000886244,0.000886244,0.000886244
4,157.029,1.34101,1.41736,1.34653,0.67813,0.65317,0.66669,0.43055,1.33409,1.30131,1.29331,0.000859958,0.000859958,0.000859958
5,194.96,1.30233,1.33859,1.32708,0.71784,0.69818,0.71833,0.46311,1.32351,1.19097,1.27598,0.000823066,0.000823066,0.000823066
6,233.267,1.2804,1.29402,1.31348,0.72477,0.70882,0.73579,0.48008,1.25783,1.13646,1.22815,0.000777211,0.000777211,0.000777211
7,271.433,1.24526,1.23509,1.28704,0.71081,0.72104,0.74368,0.48963,1.23975,1.07903,1.23834,0.000723522,0.000723522,0.000723522
8,309.533,1.22132,1.17657,1.27178,0.73405,0.74106,0.76173,0.48906,1.28419,1.05651,1.24679,0.00066332,0.00066332,0.00066332
9,347.86,1.18952,1.14798,1.2555,0.75243,0.73605,0.78203,0.52752,1.17295,0.9999,1.19882,0.000598089,0.000598089,0.000598089
10,386.12,1.17264,1.10774,1.24177,0.79336,0.73725,0.79031,0.53359,1.16853,0.97457,1.1766,0.000529433,0.000529433,0.000529433
11,433.563,1.10114,0.99337,1.19811,0.80502,0.72946,0.80326,0.55384,1.12454,0.96465,1.1729,0.000459045,0.000459045,0.000459045
12,471.548,1.0766,0.94059,1.18342,0.83114,0.77244,0.83333,0.57677,1.11517,0.88594,1.16565,0.000388657,0.000388657,0.000388657
13,508.644,1.04618,0.89167,1.16048,0.83073,0.76468,0.82324,0.57645,1.0979,0.88441,1.15813,0.000320001,0.000320001,0.000320001
14,547.385,1.0295,0.84628,1.1459,0.83108,0.76978,0.8406,0.58554,1.07908,0.85384,1.13514,0.00025477,0.00025477,0.00025477
15,585.084,1.00319,0.8184,1.13652,0.82424,0.74048,0.8207,0.57283,1.08436,0.89053,1.14516,0.000194568,0.000194568,0.000194568
16,622.478,0.98549,0.78826,1.12224,0.83143,0.78617,0.84351,0.59623,1.05674,0.83473,1.12884,0.000140879,0.000140879,0.000140879
17,659.623,0.97299,0.77017,1.11673,0.83238,0.77106,0.83888,0.58524,1.09713,0.85109,1.14588,9.50238e-05,9.50238e-05,9.50238e-05
18,696.758,0.95977,0.74814,1.10835,0.83932,0.75933,0.83294,0.58771,1.06459,0.84617,1.131,5.81322e-05,5.81322e-05,5.81322e-05
19,733.921,0.94931,0.73319,1.10073,0.84293,0.77797,0.844,0.60559,1.04238,0.81527,1.11897,3.11124e-05,3.11124e-05,3.11124e-05
20,771.037,0.94179,0.72652,1.09461,0.83806,0.77659,0.84362,0.60206,1.04945,0.81949,1.12145,1.46297e-05,1.46297e-05,1.46297e-05
